0.456,0.463,0.666,0.923,0.450,0.550,-0.174,0.903,0.436,0.442,0.158,0.529,0.112,0.564,-0.018,-0.196,-0.068,0.057
0.423,0.246,0.637,0.792,-0.008,0.399,0.017,0.769,0.242,0.375,0.295,0.545,0.127,0.641,0.046,-0.085,-0.098,-0.005
0.419,0.338,0.507,0.592,0.082,0.126,-0.120,0.669,0.248,0.222,0.192,0.464,-0.097,0.438,-0.338,-0.286,-0.361,-0.083
0.278,0.159,0.353,0.426,-0.057,0.116,-0.204,0.608,0.270,0.042,-0.024,0.295,-0.182,0.476,-0.417,-0.199,-0.360,-0.308
-0.094,0.051,0.245,0.185,-0.167,-0.062,-0.547,0.300,0.110,-0.193,-0.374,-0.067,-0.301,0.235,-0.508,-0.667,-0.566,-0.563
0.034,0.118,0.350,0.529,-0.189,0.092,-0.292,0.470,0.132,0.067,-0.133,0.200,-0.250,0.399,-0.342,-0.450,-0.437,-0.327
0.086,0.155,0.323,0.502,-0.127,0.032,-0.259,0.563,0.289,0.061,0.061,0.051,-0.175,0.496,-0.283,-0.512,-0.296,-0.278
0.047,0.173,0.542,0.452,-0.097,0.136,-0.041,0.652,0.259,0.094,-0.031,0.246,-0.052,0.394,-0.177,-0.510,-0.335,-0.061
0.378,0.308,0.578,0.595,0.166,0.164,-0.182,0.617,0.260,0.344,0.055,0.330,-0.011,0.503,-0.000,-0.187,-0.173,-0.076
0.185,0.285,0.554,0.606,0.049,0.163,-0.242,0.597,0.144,0.174,-0.083,0.347,-0.023,0.365,-0.309,-0.209,-0.428,-0.169
0.156,0.019,0.370,0.410,-0.148,0.028,-0.179,0.463,0.150,-0.045,-0.111,0.084,-0.141,0.346,-0.268,-0.434,-0.538,-0.490
0.290,0.091,0.311,0.470,-0.292,0.119,-0.310,0.532,0.174,-0.095,-0.088,0.278,-0.106,0.251,-0.481,-0.622,-0.584,-0.553
0.224,0.348,0.591,0.627,0.231,0.294,-0.001,0.829,0.436,0.190,0.067,0.355,0.080,0.387,-0.328,-0.331,-0.132,-0.232
0.317,0.259,0.563,0.628,0.005,0.387,-0.057,0.648,0.328,0.070,0.035,0.389,0.062,0.555,-0.211,-0.397,-0.291,-0.055
